地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2011/03/13,23:48:00.6,福島県沖,37°35.5′N,142°53.0′E,11 km,5.7,震度２
2011/03/13,23:44:14.8,岩手県沖,39°03.1′N,142°22.2′E,28 km,4.3,震度２
2011/03/13,23:41:19.4,三陸沖,38°19.9′N,142°52.3′E,0 km,5.1,震度２
2011/03/13,23:31:54.2,三陸沖,39°11.4′N,142°56.3′E,4 km,5.2,震度２
2011/03/13,23:28:36.4,福島県沖,36°54.7′N,141°15.7′E,43 km,4.4,震度３
2011/03/13,23:27:54.7,長野県北部,36°58.0′N,138°34.2′E,6 km,3.6,震度４
2011/03/13,23:08:50.0,千葉県東方沖,35°16.6′N,140°35.9′E,20 km,3.8,震度２
2011/03/13,23:02:15.9,岩手県沖,39°12.8′N,142°32.7′E,17 km,4.0,震度２
2011/03/13,22:43:38.6,宮城県沖,38°58.2′N,142°30.6′E,26 km,4.8,震度３
2011/03/13,22:27:38.6,福島県沖,37°23.9′N,141°19.6′E,47 km,4.0,震度２
2011/03/13,21:59:06.2,茨城県南部,35°59.2′N,140°15.4′E,40 km,3.4,震度２
2011/03/13,21:57:18.9,長野県北部,36°55.8′N,138°31.2′E,2 km,3.1,震度２
2011/03/13,21:44:28.4,福島県沖,37°18.2′N,141°51.6′E,26 km,4.8,震度３
2011/03/13,21:14:12.5,長野県北部,36°58.1′N,138°34.3′E,12 km,1.9,震度２
2011/03/13,20:56:25.7,茨城県沖,36°04.3′N,141°22.4′E,32 km,4.8,震度３
2011/03/13,20:51:29.9,新潟県中越地方,37°01.1′N,138°39.5′E,9 km,3.1,震度２
2011/03/13,20:37:27.3,福島県沖,37°23.7′N,142°26.0′E,2 km,6.1,震度３
2011/03/13,20:27:30.8,宮城県沖,38°39.1′N,142°07.2′E,44 km,4.8,震度２
2011/03/13,20:23:40.1,岐阜県飛騨地方,36°09.8′N,137°27.7′E,4 km,3.2,震度２
2011/03/13,20:07:50.7,茨城県沖,36°17.6′N,141°10.4′E,26 km,4.2,震度２
2011/03/13,19:43:09.5,宮城県沖,38°10.7′N,141°41.0′E,37 km,4.4,震度２
2011/03/13,19:08:33.9,福島県沖,37°06.8′N,141°03.6′E,55 km,3.9,震度２
2011/03/13,18:52:30.8,宮城県沖,38°48.8′N,142°07.2′E,42 km,5.6,震度３
2011/03/13,18:25:04.0,岩手県沖,39°02.4′N,142°40.3′E,10 km,5.5,震度３
2011/03/13,18:09:28.2,福島県沖,37°17.2′N,141°21.8′E,43 km,3.9,震度２
2011/03/13,18:05:11.3,茨城県沖,36°34.9′N,141°01.4′E,41 km,3.9,震度２
2011/03/13,17:41:05.5,福島県沖,37°22.1′N,141°20.0′E,21 km,3.6,震度２
2011/03/13,17:29:18.6,新潟県中越地方,37°00.7′N,138°40.0′E,9 km,2.6,震度２
2011/03/13,16:56:39.8,三陸沖,39°38.4′N,143°27.1′E,6 km,5.8,震度３
2011/03/13,16:45:16.5,福島県沖,37°23.0′N,141°21.8′E,25 km,3.6,震度２
2011/03/13,16:39:52.3,長野県北部,36°55.4′N,138°34.9′E,3 km,2.6,震度２
2011/03/13,16:26:14.8,長野県北部,36°59.3′N,138°35.9′E,3 km,1.6,震度２
2011/03/13,16:20:41.6,新潟県中越地方,36°59.3′N,138°36.2′E,0 km,1.9,震度２
2011/03/13,16:20:04.1,福島県沖,37°24.7′N,141°13.7′E,9 km,4.2,震度２
2011/03/13,16:16:06.1,福島県沖,37°37.1′N,141°44.0′E,33 km,4.0,震度２
2011/03/13,16:04:34.5,三陸沖,38°20.1′N,144°11.2′E,48 km,5.4,震度２
2011/03/13,15:47:30.9,茨城県沖,36°16.4′N,141°14.3′E,38 km,4.4,震度２
2011/03/13,15:37:03.5,長野県南部,35°54.9′N,137°37.4′E,8 km,3.3,震度２
2011/03/13,15:36:10.9,長野県北部,36°54.7′N,138°34.7′E,0 km,2.6,震度２
2011/03/13,15:19:09.9,岩手県沖,40°05.3′N,142°10.0′E,44 km,4.3,震度３
2011/03/13,15:14:12.4,東京湾,35°31.3′N,139°52.8′E,23 km,3.1,震度２
2011/03/13,14:59:54.2,福島県沖,37°02.3′N,141°22.6′E,43 km,4.7,震度３
