地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2012/02/29,23:32:46.0,千葉県東方沖,35°20.1′N,141°16.7′E,39 km,5.9,震度４
2012/02/29,19:33:35.4,日向灘,31°45.2′N,132°00.0′E,25 km,4.1,震度２
2012/02/29,18:00:03.4,福島県沖,37°17.3′N,141°40.6′E,44 km,5.4,震度４
2012/02/29,01:22:59.5,日向灘,31°45.3′N,131°59.5′E,28 km,4.5,震度２
2012/02/28,23:30:10.9,根室半島南東沖,43°12.0′N,145°44.1′E,92 km,4.1,震度２
2012/02/28,23:14:00.1,宮城県沖,38°21.9′N,141°52.8′E,65 km,4.0,震度２
2012/02/28,14:31:07.8,茨城県北部,36°43.1′N,140°37.1′E,6 km,3.1,震度２
2012/02/28,14:20:48.3,茨城県沖,36°32.1′N,140°58.0′E,23 km,5.1,震度４
2012/02/28,13:33:56.6,和歌山県北部,34°09.2′N,135°14.4′E,4 km,2.5,震度２
2012/02/28,04:31:49.2,沖縄本島近海,25°30.0′N,127°15.5′E,48 km,5.7,震度３
2012/02/28,01:30:33.7,宮城県沖,38°32.1′N,141°49.2′E,50 km,4.5,震度３
2012/02/28,01:29:24.2,沖縄本島近海,25°30.3′N,127°16.5′E,45 km,4.9,震度２
2012/02/27,20:32:02.8,岩手県沖,39°52.8′N,142°09.8′E,48 km,4.0,震度２
2012/02/27,10:11:46.3,与那国島近海,23°50.1′N,123°21.6′E,30 km,5.5,震度２
2012/02/26,23:19:15.7,福島県沖,37°29.6′N,141°52.6′E,38 km,4.2,震度２
2012/02/26,22:01:02.3,山梨県東部・富士五湖,35°28.8′N,138°59.1′E,22 km,3.7,震度２
2012/02/26,16:05:34.4,釧路沖,42°38.9′N,144°28.0′E,56 km,4.1,震度２
2012/02/26,04:12:49.8,岐阜県飛騨地方,36°17.0′N,137°02.6′E,9 km,3.6,震度２
2012/02/25,23:26:57.8,茨城県北部,36°27.4′N,140°36.4′E,54 km,3.7,震度２
2012/02/25,06:02:23.3,長野県北部,36°57.8′N,138°33.0′E,6 km,3.0,震度２
2012/02/25,04:53:48.4,長野県南部,35°49.8′N,137°35.1′E,6 km,2.4,震度２
2012/02/24,13:10:34.6,茨城県南部,35°59.2′N,140°04.6′E,63 km,4.2,震度３
2012/02/24,04:27:58.0,岩手県沖,39°00.5′N,142°18.6′E,58 km,4.8,震度３
2012/02/24,00:26:38.8,浦河沖,42°02.2′N,142°26.9′E,68 km,4.1,震度２
2012/02/22,17:28:15.5,岩手県沖,40°08.1′N,142°08.2′E,56 km,3.9,震度２
2012/02/22,02:26:39.8,茨城県北部,36°42.6′N,140°35.7′E,7 km,3.3,震度２
2012/02/21,23:44:24.3,佐渡付近,37°54.6′N,138°09.3′E,15 km,3.4,震度２
2012/02/21,23:36:24.5,佐渡付近,37°54.6′N,138°09.1′E,15 km,3.9,震度２
2012/02/21,10:22:35.0,京都府南部,35°16.2′N,135°49.2′E,13 km,3.4,震度２
2012/02/21,09:34:26.7,千葉県北東部,35°51.9′N,140°29.4′E,36 km,3.6,震度２
2012/02/21,07:37:09.3,茨城県北部,36°47.8′N,140°33.8′E,7 km,3.9,震度２
2012/02/21,04:16:21.9,宮城県沖,38°50.2′N,142°20.4′E,40 km,4.2,震度２
2012/02/20,22:43:09.0,福島県沖,37°07.5′N,141°12.7′E,29 km,3.7,震度２
2012/02/20,21:40:06.5,茨城県北部,36°50.5′N,140°38.1′E,8 km,3.5,震度２
