地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2011/12/31,19:29:02.0,宮城県沖,38°38.2′N,141°54.5′E,48 km,3.8,震度２
2011/12/31,08:11:04.6,茨城県北部,36°51.3′N,140°34.4′E,8 km,4.5,震度３
2011/12/31,04:11:33.6,宮城県沖,38°55.1′N,141°56.1′E,50 km,3.8,震度２
2011/12/31,02:52:22.7,宮城県沖,38°25.5′N,142°10.3′E,30 km,3.9,震度２
2011/12/30,18:34:50.0,宮城県沖,38°42.8′N,141°42.4′E,69 km,4.1,震度３
2011/12/30,01:56:19.2,福島県中通り,37°04.2′N,140°33.2′E,6 km,2.8,震度２
2011/12/29,09:30:39.4,茨城県北部,36°50.1′N,140°36.5′E,10 km,3.6,震度２
2011/12/29,03:06:34.3,茨城県北部,36°52.0′N,140°39.4′E,8 km,3.6,震度２
2011/12/29,02:02:24.1,新潟県中越地方,36°58.3′N,138°37.4′E,8 km,2.9,震度２
2011/12/28,18:18:31.8,北海道東方沖,43°32.0′N,147°06.7′E,51 km,4.2,震度２
2011/12/28,10:04:49.8,和歌山県北部,34°09.3′N,135°11.2′E,6 km,2.6,震度２
2011/12/28,03:56:47.2,紀伊水道,33°50.1′N,134°59.0′E,13 km,3.4,震度２
2011/12/28,02:42:42.6,宮城県沖,38°41.7′N,141°58.1′E,53 km,3.9,震度２
2011/12/27,16:33:32.4,宮城県沖,38°17.0′N,142°07.8′E,36 km,4.3,震度２
2011/12/27,14:35:03.7,福島県浜通り,37°06.5′N,140°49.7′E,8 km,3.2,震度２
2011/12/27,07:50:32.8,熊本県熊本地方,32°31.6′N,130°45.8′E,8 km,2.8,震度２
2011/12/27,07:37:44.8,秋田県内陸南部,39°32.0′N,140°24.7′E,8 km,3.2,震度２
2011/12/27,07:36:47.0,長野県北部,36°59.0′N,138°35.3′E,9 km,3.0,震度２
2011/12/27,07:28:51.5,宮城県沖,38°32.0′N,141°43.0′E,54 km,3.7,震度２
2011/12/27,02:56:01.6,宮城県沖,38°00.6′N,141°37.6′E,89 km,4.0,震度２
2011/12/26,16:16:40.2,茨城県沖,36°26.1′N,141°07.8′E,45 km,3.9,震度２
2011/12/26,13:20:28.5,福島県中通り,37°00.4′N,140°32.9′E,10 km,3.5,震度２
2011/12/26,02:41:37.3,茨城県沖,35°53.9′N,140°50.2′E,41 km,4.5,震度２
2011/12/25,23:07:10.5,福島県沖,37°17.6′N,141°09.5′E,35 km,4.0,震度２
2011/12/25,12:36:49.9,茨城県沖,36°46.3′N,141°01.3′E,49 km,4.1,震度２
2011/12/25,11:59:27.0,釧路地方中南部,42°55.9′N,144°00.4′E,95 km,3.3,震度２
2011/12/25,05:49:04.7,釧路地方北部,43°30.6′N,144°29.2′E,150 km,4.0,震度２
2011/12/25,04:54:44.0,福島県中通り,37°00.0′N,140°32.6′E,6 km,3.6,震度２
2011/12/25,00:11:05.9,宮城県沖,38°25.5′N,142°09.4′E,32 km,3.8,震度２
2011/12/24,18:57:21.7,秋田県内陸北部,39°57.7′N,140°24.2′E,6 km,3.2,震度２
2011/12/24,15:14:38.5,福島県中通り,37°00.8′N,140°34.9′E,9 km,4.0,震度３
2011/12/24,11:21:50.8,山形県置賜地方,37°48.2′N,140°00.0′E,8 km,3.8,震度３
2011/12/24,01:51:38.7,三河湾,34°43.5′N,137°05.4′E,12 km,3.3,震度２
2011/12/23,23:44:06.4,茨城県南部,36°09.1′N,139°49.6′E,54 km,4.2,震度２
2011/12/23,01:13:35.9,茨城県北部,36°47.1′N,140°32.7′E,9 km,3.8,震度２
2011/12/22,18:40:13.2,茨城県沖,36°38.5′N,140°55.9′E,49 km,3.8,震度２
2011/12/22,17:41:33.4,千葉県北西部,35°38.7′N,140°06.5′E,64 km,3.7,震度２
2011/12/22,05:10:29.5,福島県沖,36°58.6′N,141°09.6′E,30 km,4.6,震度３
2011/12/22,05:03:32.2,千葉県南部,35°08.8′N,140°11.8′E,15 km,3.2,震度２
2011/12/21,21:40:47.6,福島県沖,37°21.7′N,141°16.6′E,36 km,3.7,震度２
2011/12/21,15:04:10.1,埼玉県南部,35°49.7′N,139°20.6′E,116 km,4.0,震度２
2011/12/21,11:06:51.4,岩手県沖,39°37.9′N,142°06.6′E,49 km,4.7,震度３
2011/12/21,06:23:48.7,福島県会津,37°45.1′N,139°59.0′E,8 km,3.5,震度２
2011/12/21,03:27:30.2,福島県会津,37°41.1′N,139°55.9′E,9 km,3.1,震度２
2011/12/20,21:26:35.3,奄美大島北西沖,28°41.4′N,128°37.4′E,137 km,4.2,震度２
2011/12/20,18:10:55.5,茨城県北部,36°41.4′N,140°37.9′E,5 km,3.2,震度３
2011/12/20,15:26:19.6,岩手県沖,40°03.3′N,142°41.9′E,29 km,5.0,震度３
2011/12/20,10:35:49.5,秋田県内陸南部,39°34.4′N,140°32.4′E,6 km,2.8,震度３
2011/12/20,09:13:24.0,天草灘,32°33.8′N,130°02.9′E,14 km,3.2,震度２
2011/12/20,06:29:54.6,京都府南部,35°09.2′N,135°41.6′E,10 km,3.1,震度２
2011/12/20,02:38:19.4,茨城県北部,36°43.1′N,140°35.5′E,8 km,3.4,震度２
2011/12/20,02:24:44.0,茨城県北部,36°41.7′N,140°37.3′E,5 km,4.4,震度３
2011/12/20,02:23:22.3,茨城県北部,36°42.2′N,140°37.3′E,5 km,3.7,震度２
2011/12/20,00:33:21.3,福島県中通り,37°04.0′N,140°26.5′E,7 km,3.1,震度２
2011/12/19,23:40:05.3,茨城県北部,36°44.3′N,140°37.6′E,4 km,3.9,震度３
2011/12/19,16:01:46.6,千葉県東方沖,35°33.5′N,141°02.7′E,36 km,4.6,震度３
2011/12/19,13:13:46.8,北海道東方沖,43°36.4′N,147°54.9′E,53 km,4.7,震度２
2011/12/19,12:55:12.2,宮城県沖,38°22.0′N,142°01.8′E,32 km,4.2,震度２
2011/12/19,08:58:51.2,滋賀県北部,35°21.1′N,135°47.0′E,8 km,3.6,震度２
2011/12/19,05:36:28.8,能登半島沖,37°31.3′N,137°12.5′E,9 km,4.1,震度３
2011/12/19,02:20:22.4,茨城県北部,36°50.5′N,140°35.1′E,7 km,4.2,震度２
2011/12/18,18:02:02.9,千葉県東方沖,35°34.2′N,141°01.3′E,38 km,4.8,震度３
2011/12/18,15:08:57.8,宮城県沖,38°39.1′N,142°09.2′E,42 km,4.5,震度２
2011/12/17,22:21:18.9,茨城県北部,36°41.2′N,140°37.8′E,7 km,3.0,震度２
2011/12/17,17:55:53.2,福島県中通り,37°01.5′N,140°19.6′E,5 km,2.6,震度２
2011/12/17,17:50:34.0,石川県能登地方,37°28.5′N,137°21.6′E,13 km,4.3,震度３
2011/12/17,11:20:41.8,茨城県北部,36°38.2′N,140°35.6′E,7 km,2.9,震度２
2011/12/16,22:05:06.9,茨城県沖,36°36.3′N,141°00.0′E,47 km,3.4,震度２
2011/12/16,18:46:16.7,岩手県沖,39°06.3′N,142°12.2′E,43 km,3.7,震度２
2011/12/16,15:12:02.1,茨城県南部,36°20.6′N,140°03.0′E,73 km,4.3,震度３
2011/12/15,12:59:25.3,茨城県沖,36°36.8′N,140°52.8′E,20 km,3.8,震度２
2011/12/15,08:59:25.5,福島県沖,37°25.6′N,141°16.9′E,28 km,3.3,震度２
2011/12/15,07:45:44.2,茨城県沖,35°56.1′N,140°55.1′E,26 km,4.2,震度３
2011/12/14,23:19:07.4,岐阜県美濃中西部,35°28.8′N,136°44.7′E,9 km,3.0,震度２
2011/12/14,17:37:25.2,宮城県沖,38°53.2′N,142°06.6′E,42 km,3.6,震度２
2011/12/14,16:31:49.9,奄美大島近海,28°39.0′N,129°35.5′E,14 km,4.1,震度２
2011/12/14,13:01:08.2,岐阜県美濃東部,35°21.3′N,137°14.6′E,49 km,5.1,震度４
2011/12/13,20:31:02.2,福島県浜通り,37°04.5′N,140°46.1′E,8 km,3.1,震度２
2011/12/13,04:04:38.6,岩手県沿岸北部,39°45.4′N,141°50.5′E,58 km,3.8,震度２
2011/12/13,02:19:51.8,宮城県沖,38°32.6′N,141°43.1′E,54 km,3.3,震度２
2011/12/12,21:33:35.1,福島県中通り,37°02.2′N,140°34.6′E,8 km,3.2,震度２
2011/12/12,14:13:18.9,茨城県沖,35°55.8′N,140°49.6′E,18 km,4.6,震度３
2011/12/12,10:39:50.3,奄美大島近海,28°07.7′N,129°31.6′E,26 km,4.0,震度２
2011/12/12,04:51:10.1,茨城県沖,36°12.6′N,140°55.9′E,38 km,4.6,震度３
2011/12/11,20:16:12.1,茨城県北部,36°27.8′N,140°35.3′E,62 km,3.9,震度３
2011/12/11,16:06:44.7,宮城県沖,38°22.2′N,141°53.7′E,65 km,3.9,震度２
2011/12/11,13:09:18.3,奄美大島近海,28°07.8′N,129°31.9′E,28 km,3.9,震度２
2011/12/11,12:30:52.3,奄美大島近海,28°06.7′N,129°32.0′E,24 km,4.4,震度３
2011/12/11,10:23:49.1,奄美大島近海,28°07.8′N,129°30.6′E,27 km,4.5,震度３
2011/12/11,10:22:43.8,奄美大島近海,28°07.8′N,129°32.6′E,29 km,5.5,震度４
2011/12/11,00:50:51.3,茨城県北部,36°41.6′N,140°36.8′E,6 km,3.4,震度２
2011/12/10,23:15:05.3,岩手県沖,40°01.5′N,142°25.5′E,38 km,3.9,震度２
2011/12/10,15:08:16.5,宮城県沖,38°37.5′N,141°48.7′E,45 km,4.7,震度４
2011/12/10,13:19:28.1,千葉県北西部,35°39.6′N,140°05.6′E,67 km,4.1,震度２
2011/12/10,04:42:52.4,オホーツク海南部,46°45.6′N,144°53.4′E,431 km,5.7,震度３
