地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2010/12/28,22:07:31.3,愛知県西部,34°56.7′N,137°14.6′E,40 km,3.7,震度２
2010/12/28,03:12:53.1,愛知県西部,35°12.6′N,137°13.1′E,44 km,3.4,震度２
2010/12/27,15:20:06.8,紀伊水道,34°10.1′N,135°10.8′E,7 km,3.3,震度３
2010/12/27,05:58:37.4,福島県沖,37°18.0′N,141°46.6′E,44 km,4.1,震度２
2010/12/26,20:25:05.7,山口県西部,34°00.3′N,131°16.1′E,13 km,3.9,震度３
2010/12/26,19:33:09.4,トカラ列島近海,29°47.3′N,129°50.8′E,1 km,不明,震度２
2010/12/25,09:22:42.3,奄美大島近海,28°12.6′N,130°28.9′E,55 km,4.7,震度２
2010/12/23,19:31:12.4,栃木県南部,36°35.2′N,139°35.5′E,9 km,3.2,震度２
2010/12/23,06:49:42.9,父島近海,26°56.3′N,143°41.3′E,59 km,6.6,震度３
2010/12/22,02:19:37.2,父島近海,27°03.1′N,143°56.1′E,8 km,7.8,震度４
2010/12/19,00:11:41.1,宮城県北部,38°49.3′N,140°48.9′E,4 km,3.4,震度２
2010/12/15,23:19:40.4,奄美大島近海,27°28.2′N,129°33.0′E,26 km,4.7,震度２
2010/12/15,16:37:19.9,青森県東方沖,41°01.7′N,142°48.5′E,23 km,4.7,震度２
2010/12/15,14:43:46.4,十勝沖,41°57.1′N,144°28.0′E,35 km,4.7,震度２
2010/12/15,08:53:38.7,茨城県沖,36°41.1′N,141°15.8′E,46 km,4.3,震度２
2010/12/13,14:19:47.3,奄美大島近海,27°30.5′N,129°32.4′E,40 km,4.6,震度２
2010/12/11,19:45:20.0,福島県浜通り,37°22.8′N,141°02.1′E,69 km,3.8,震度２
2010/12/10,02:41:27.3,土佐湾,33°31.5′N,133°43.7′E,8 km,2.8,震度２
2010/12/10,01:21:02.1,三陸沖,39°03.1′N,143°49.3′E,8 km,4.9,震度２
2010/12/07,09:36:47.6,日向灘,32°37.1′N,132°03.6′E,35 km,4.1,震度３
2010/12/06,23:22:40.2,新潟県上越地方,37°09.9′N,138°22.8′E,23 km,3.6,震度３
2010/12/06,16:30:29.8,青森県東方沖,40°47.9′N,143°13.1′E,7 km,5.8,震度３
2010/12/06,03:20:02.3,千葉県北西部,35°39.2′N,140°10.1′E,68 km,4.3,震度３
2010/12/06,00:51:06.0,根室半島南東沖,43°20.7′N,146°08.5′E,50 km,4.2,震度３
2010/12/03,20:08:49.1,新潟県中越地方,36°59.2′N,138°53.1′E,7 km,3.5,震度３
2010/12/03,17:11:52.0,長野県南部,35°51.3′N,137°34.7′E,6 km,2.6,震度２
