地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2011/04/30,21:57:48.6,福島県中通り,37°01.8′N,140°35.6′E,9 km,3.6,震度２
2011/04/30,19:28:55.3,宮城県中部,38°19.2′N,140°41.4′E,12 km,3.2,震度２
2011/04/30,17:18:24.1,茨城県沖,36°18.4′N,141°04.2′E,48 km,3.9,震度２
2011/04/30,15:04:21.6,茨城県沖,36°46.0′N,141°14.9′E,37 km,4.6,震度３
2011/04/30,14:46:59.3,福島県沖,37°20.1′N,141°17.7′E,33 km,4.5,震度４
2011/04/30,14:29:49.6,茨城県沖,36°45.2′N,141°14.9′E,35 km,4.1,震度３
2011/04/30,14:06:31.1,茨城県沖,36°45.5′N,141°16.8′E,37 km,5.3,震度４
2011/04/30,10:54:26.7,岩手県沖,39°40.4′N,142°08.2′E,47 km,4.2,震度２
2011/04/30,09:22:01.4,福島県中通り,37°01.1′N,140°30.4′E,5 km,2.6,震度２
2011/04/30,07:19:30.9,宮城県沖,38°50.3′N,142°06.8′E,44 km,5.2,震度３
2011/04/30,06:11:36.4,茨城県沖,36°20.0′N,141°04.7′E,46 km,4.0,震度２
2011/04/30,05:21:13.3,茨城県北部,36°46.4′N,140°31.9′E,10 km,3.7,震度２
2011/04/30,04:11:54.4,群馬県北部,36°28.5′N,138°40.9′E,13 km,2.6,震度２
2011/04/30,02:04:12.6,千葉県東方沖,35°27.4′N,140°54.9′E,24 km,4.7,震度３
2011/04/29,23:33:33.1,茨城県沖,36°20.5′N,140°53.9′E,40 km,3.8,震度２
2011/04/29,21:24:55.8,茨城県北部,36°41.2′N,140°37.4′E,7 km,3.0,震度３
2011/04/29,19:31:03.3,長野県北部,36°48.9′N,138°38.3′E,0 km,3.2,震度２
2011/04/29,17:29:08.0,茨城県沖,36°36.4′N,140°54.2′E,50 km,3.9,震度２
2011/04/29,15:54:48.1,岩手県沖,39°20.4′N,142°03.8′E,48 km,4.8,震度４
2011/04/29,14:45:37.7,福島県沖,37°00.5′N,141°07.9′E,50 km,3.7,震度２
2011/04/29,13:38:36.9,種子島近海,30°14.3′N,130°56.9′E,44 km,4.6,震度３
2011/04/29,13:00:55.8,隠岐島近海,35°58.8′N,133°19.8′E,17 km,3.9,震度２
2011/04/29,11:50:15.6,福島県浜通り,37°05.9′N,140°50.9′E,8 km,2.7,震度２
2011/04/29,09:00:01.5,北海道南西沖,42°06.7′N,139°11.9′E,18 km,3.9,震度２
2011/04/29,08:49:35.3,福島県浜通り,37°08.1′N,140°47.3′E,4 km,3.2,震度２
2011/04/29,07:21:56.2,新潟県中越地方,37°02.4′N,138°42.4′E,9 km,3.5,震度３
2011/04/29,07:21:12.4,新潟県中越地方,37°02.4′N,138°42.3′E,9 km,2.4,震度３
2011/04/29,07:04:32.2,福島県沖,37°38.9′N,141°34.5′E,45 km,3.9,震度２
2011/04/29,03:56:00.4,茨城県北部,36°35.5′N,140°37.8′E,8 km,2.4,震度２
2011/04/29,02:34:59.5,福島県浜通り,37°05.9′N,140°50.8′E,8 km,3.1,震度２
2011/04/29,02:17:55.1,岩手県沖,39°08.4′N,142°23.6′E,35 km,4.3,震度３
2011/04/29,02:14:46.5,茨城県北部,36°35.5′N,140°37.7′E,8 km,2.6,震度２
2011/04/29,01:43:52.3,宮城県沖,38°36.9′N,141°54.5′E,49 km,3.7,震度２
2011/04/28,21:39:31.2,福島県浜通り,37°05.3′N,140°49.8′E,8 km,3.5,震度３
2011/04/28,18:27:46.7,福島県沖,37°24.8′N,141°46.8′E,44 km,5.7,震度４
2011/04/28,15:27:17.5,秋田県内陸南部,39°27.4′N,140°22.4′E,9 km,2.8,震度２
2011/04/28,10:44:47.0,宮城県沖,38°33.8′N,141°53.4′E,48 km,4.8,震度３
2011/04/28,07:00:19.1,日向灘,32°41.6′N,132°08.4′E,37 km,3.9,震度２
2011/04/28,06:45:02.6,宮城県沖,38°07.6′N,141°46.6′E,53 km,4.8,震度３
2011/04/28,06:11:18.5,福島県浜通り,37°00.1′N,140°38.7′E,17 km,3.5,震度２
2011/04/28,00:56:20.6,茨城県北部,36°43.0′N,140°36.6′E,6 km,2.8,震度２
2011/04/27,21:57:11.8,福島県浜通り,37°04.0′N,140°40.2′E,9 km,3.7,震度２
2011/04/27,21:27:47.4,福島県浜通り,37°03.8′N,140°39.6′E,13 km,3.9,震度３
2011/04/27,19:27:24.2,長野県北部,36°49.2′N,138°37.4′E,0 km,4.6,震度４
2011/04/27,16:03:20.8,岩手県沖,39°56.9′N,142°20.3′E,41 km,4.2,震度２
2011/04/27,15:15:39.7,茨城県北部,36°42.9′N,140°38.8′E,6 km,3.9,震度２
2011/04/27,13:23:57.8,福島県沖,37°05.8′N,141°25.5′E,54 km,3.9,震度２
