地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2012/12/31,07:17:25.1,宮城県沖,38°19.4′N,141°55.0′E,50 km,3.7,震度２
2012/12/31,02:59:00.6,宮城県沖,38°51.3′N,142°03.0′E,46 km,3.9,震度２
2012/12/30,08:05:19.5,福島県沖,36°57.7′N,141°23.5′E,35 km,5.1,震度３
2012/12/30,05:54:47.2,岩手県沿岸北部,40°08.0′N,141°47.5′E,6 km,2.9,震度２
2012/12/29,23:59:36.6,宮城県沖,38°43.0′N,142°11.7′E,41 km,5.5,震度４
2012/12/29,16:19:32.5,福島県沖,37°04.0′N,141°10.9′E,51 km,5.0,震度４
2012/12/29,14:18:51.2,豊後水道,33°05.3′N,132°23.2′E,41 km,3.4,震度２
2012/12/29,12:05:41.1,宮城県沖,38°14.5′N,141°51.2′E,62 km,3.9,震度２
2012/12/29,05:28:00.4,栃木県北部,36°37.7′N,139°25.7′E,9 km,3.1,震度２
2012/12/28,16:30:00.6,茨城県北部,36°27.2′N,140°36.2′E,56 km,4.0,震度３
2012/12/27,06:17:28.6,千葉県東方沖,35°51.4′N,140°54.3′E,34 km,3.6,震度２
2012/12/26,20:44:41.3,長野県北部,36°48.8′N,138°41.8′E,5 km,3.8,震度２
2012/12/26,04:59:05.6,岩手県沖,40°04.6′N,142°00.9′E,65 km,4.1,震度３
2012/12/24,20:26:10.9,長野県北部,36°50.7′N,138°34.2′E,3 km,3.3,震度２
2012/12/22,15:32:49.8,宮城県沖,38°27.0′N,142°00.4′E,43 km,3.9,震度２
2012/12/22,15:15:30.3,伊予灘,33°31.1′N,132°18.0′E,47 km,4.5,震度３
2012/12/22,14:20:58.8,長崎県南西部,32°41.5′N,129°54.4′E,14 km,2.3,震度２
2012/12/22,11:36:46.7,千葉県南部,35°16.6′N,140°11.5′E,35 km,3.7,震度２
2012/12/21,21:52:33.1,宮城県沖,38°30.2′N,141°55.9′E,55 km,3.9,震度２
2012/12/21,18:52:25.5,長野県北部,36°49.1′N,138°41.6′E,5 km,3.7,震度２
2012/12/21,17:07:19.6,宮城県沖,38°38.5′N,141°48.8′E,48 km,5.2,震度４
2012/12/21,10:32:15.1,福島県沖,37°21.2′N,141°18.2′E,32 km,3.4,震度２
2012/12/21,00:31:15.2,福島県沖,37°06.7′N,141°06.3′E,53 km,4.1,震度３
2012/12/20,05:16:28.0,茨城県北部,36°10.1′N,140°19.6′E,74 km,4.2,震度３
2012/12/20,04:26:35.2,福島県沖,37°27.6′N,141°24.2′E,26 km,4.3,震度２
2012/12/20,01:08:05.7,青森県西方沖,40°40.2′N,139°09.3′E,29 km,4.3,震度２
